started_at,finished_at,seconds,memory
2013-12-25 23:50:18 -0600,2013-12-25 23:50:45 -0600,27.418736,69652
2013-12-25 23:50:45 -0600,2013-12-25 23:51:12 -0600,26.32394,69652
2013-12-25 23:51:12 -0600,2013-12-25 23:51:38 -0600,26.293064,69652
2013-12-25 23:51:38 -0600,2013-12-25 23:52:04 -0600,26.316519,69652
2013-12-25 23:52:04 -0600,2013-12-25 23:52:32 -0600,27.315316,69652
2013-12-25 23:52:32 -0600,2013-12-25 23:52:58 -0600,26.351961,69652
2013-12-25 23:52:58 -0600,2013-12-25 23:53:24 -0600,26.242194,69652
2013-12-25 23:53:24 -0600,2013-12-25 23:53:51 -0600,26.286562,69652
2013-12-25 23:53:51 -0600,2013-12-25 23:54:17 -0600,26.537826,69652
2013-12-25 23:54:17 -0600,2013-12-25 23:54:45 -0600,27.523202,69652
2013-12-25 23:54:45 -0600,2013-12-25 23:55:11 -0600,26.264709,69652
2013-12-25 23:55:11 -0600,2013-12-25 23:55:37 -0600,26.269873,69652
2013-12-25 23:55:37 -0600,2013-12-25 23:56:04 -0600,26.397293,69652
2013-12-25 23:56:04 -0600,2013-12-25 23:56:31 -0600,27.493568,69652
2013-12-25 23:56:31 -0600,2013-12-25 23:56:57 -0600,26.199223,69652
2013-12-25 23:56:57 -0600,2013-12-25 23:57:24 -0600,26.34849,69652
2013-12-25 23:57:24 -0600,2013-12-25 23:57:50 -0600,26.25585,69652
2013-12-25 23:57:50 -0600,2013-12-25 23:58:17 -0600,26.819319,69652
2013-12-25 23:58:17 -0600,2013-12-25 23:58:44 -0600,27.469217,69652
2013-12-25 23:58:44 -0600,2013-12-25 23:59:10 -0600,26.214078,69652
2013-12-25 23:59:10 -0600,2013-12-25 23:59:37 -0600,26.227723,69652
2013-12-25 23:59:37 -0600,2013-12-26 00:00:03 -0600,26.502918,69652
2013-12-26 00:00:03 -0600,2013-12-26 00:00:31 -0600,27.452529,69704
2013-12-26 00:00:31 -0600,2013-12-26 00:00:57 -0600,26.251643,69848
2013-12-26 00:00:57 -0600,2013-12-26 00:01:23 -0600,26.255278,70904
2013-12-26 00:01:23 -0600,2013-12-26 00:01:49 -0600,26.223959,70904
2013-12-26 00:01:49 -0600,2013-12-26 00:02:17 -0600,27.535905,70904
2013-12-26 00:02:17 -0600,2013-12-26 00:02:43 -0600,26.201078,70904
2013-12-26 00:02:43 -0600,2013-12-26 00:03:09 -0600,26.31487,70904
2013-12-26 00:03:09 -0600,2013-12-26 00:03:36 -0600,26.307417,70904
2013-12-26 00:03:36 -0600,2013-12-26 00:04:03 -0600,27.353081,70904
2013-12-26 00:04:03 -0600,2013-12-26 00:04:29 -0600,26.264602,70904
2013-12-26 00:04:29 -0600,2013-12-26 00:04:56 -0600,26.204579,70904
2013-12-26 00:04:56 -0600,2013-12-26 00:05:22 -0600,26.246537,70904
2013-12-26 00:05:22 -0600,2013-12-26 00:05:49 -0600,27.090814,70904
2013-12-26 00:05:49 -0600,2013-12-26 00:06:16 -0600,27.564952,70904
2013-12-26 00:06:16 -0600,2013-12-26 00:06:43 -0600,26.126122,70904
2013-12-26 00:06:43 -0600,2013-12-26 00:07:09 -0600,26.191787,70904
2013-12-26 00:07:09 -0600,2013-12-26 00:07:35 -0600,26.256962,70904
2013-12-26 00:07:35 -0600,2013-12-26 00:08:02 -0600,27.400219,70904
